# x, y, theta, v_l, v_r
7.81, 221.16, 1.758, 7.82, 0.00
7.81, 221.20, 1.680, 7.82, 0.00
7.81, 221.24, 1.602, 7.82, 0.00
7.81, 221.27, 1.524, 7.82, 0.00
7.81, 221.31, 1.446, 7.82, 0.00
7.82, 221.35, 1.367, 7.82, 0.00
7.82, 221.39, 1.289, 7.82, 0.00
7.84, 221.42, 1.211, 7.82, 0.00
7.85, 221.46, 1.133, 7.82, 0.00
7.87, 221.49, 1.055, 7.82, 0.00
7.89, 221.52, 0.976, 7.82, 0.00
7.91, 221.55, 0.898, 7.82, 0.00
7.94, 221.58, 0.820, 7.82, 0.00
7.97, 221.61, 0.742, 7.82, 0.00
8.00, 221.63, 0.664, 7.82, 0.00
8.03, 221.65, 0.585, 7.82, 0.00
8.06, 221.67, 0.507, 7.82, 0.00
8.10, 221.68, 0.429, 7.82, 0.00
8.24, 221.79, 0.601, 7.82, 25.02
8.37, 221.91, 0.773, 7.82, 25.02
8.47, 222.06, 0.945, 7.82, 25.02
8.56, 222.21, 1.117, 7.82, 25.02
8.62, 222.37, 1.289, 7.82, 25.02
8.65, 222.54, 1.461, 7.82, 25.02
8.65, 222.71, 1.633, 7.82, 25.02
8.63, 222.86, 1.805, 7.82, 25.02
8.58, 223.01, 1.977, 7.82, 25.02
8.50, 223.14, 2.149, 7.82, 25.02
8.40, 223.25, 2.322, 7.82, 25.02
8.37, 223.28, 2.243, 7.82, 0.00
8.35, 223.32, 2.165, 7.82, 0.00
8.33, 223.35, 2.087, 7.82, 0.00
8.31, 223.39, 2.009, 7.82, 0.00
8.30, 223.43, 1.931, 7.82, 0.00
8.28, 223.46, 1.852, 7.82, 0.00
8.22, 223.61, 2.024, 7.82, 25.02
8.16, 223.70, 2.275, 0.00, 25.02
7.99, 223.89, 2.275, 25.02, 25.02
7.83, 224.08, 2.275, 25.02, 25.02
7.67, 224.27, 2.275, 25.02, 25.02
7.51, 224.46, 2.275, 25.02, 25.02
7.35, 224.65, 2.275, 25.02, 25.02
7.18, 224.84, 2.275, 25.02, 25.02
7.02, 225.03, 2.275, 25.02, 25.02
6.86, 225.22, 2.275, 25.02, 25.02
6.70, 225.41, 2.275, 25.02, 25.02
6.54, 225.60, 2.275, 25.02, 25.02
6.37, 225.79, 2.275, 25.02, 25.02
6.21, 225.98, 2.275, 25.02, 25.02
6.13, 226.15, 1.946, 32.84, 0.00
6.12, 226.19, 1.868, 7.82, 0.00
6.11, 226.23, 1.790, 7.82, 0.00
6.10, 226.27, 1.712, 7.82, 0.00
6.10, 226.31, 1.633, 7.82, 0.00
6.09, 226.35, 1.555, 7.82, 0.00
6.08, 226.51, 1.727, 7.82, 25.02
6.05, 226.62, 1.977, 0.00, 25.02
5.95, 226.85, 1.977, 25.02, 25.02
5.85, 227.08, 1.977, 25.02, 25.02
5.75, 227.31, 1.977, 25.02, 25.02
5.65, 227.54, 1.977, 25.02, 25.02
5.55, 227.77, 1.977, 25.02, 25.02
5.45, 228.00, 1.977, 25.02, 25.02
5.36, 228.23, 1.977, 25.02, 25.02
5.26, 228.46, 1.977, 25.02, 25.02
5.16, 228.69, 1.977, 25.02, 25.02
5.06, 228.92, 1.977, 25.02, 25.02
4.96, 229.15, 1.977, 25.02, 25.02
4.86, 229.38, 1.977, 25.02, 25.02
4.76, 229.61, 1.977, 25.02, 25.02
4.66, 229.84, 1.977, 25.02, 25.02
4.56, 230.07, 1.977, 25.02, 25.02
4.46, 230.30, 1.977, 25.02, 25.02
4.37, 230.53, 1.977, 25.02, 25.02
4.27, 230.76, 1.977, 25.02, 25.02
4.17, 230.99, 1.977, 25.02, 25.02
4.07, 231.22, 1.977, 25.02, 25.02
3.97, 231.45, 1.977, 25.02, 25.02
3.87, 231.67, 1.977, 25.02, 25.02
3.77, 231.90, 1.977, 25.02, 25.02
3.74, 232.03, 1.727, 25.02, 0.00
3.73, 232.16, 1.477, 25.02, 0.00
3.74, 232.20, 1.399, 7.82, 0.00
3.75, 232.23, 1.321, 7.82, 0.00
3.76, 232.27, 1.242, 7.82, 0.00
3.77, 232.31, 1.164, 7.82, 0.00
3.79, 232.34, 1.086, 7.82, 0.00
3.85, 232.50, 1.258, 7.82, 25.02
3.88, 232.63, 1.508, 0.00, 25.02
3.89, 232.88, 1.508, 25.02, 25.02
3.91, 233.13, 1.508, 25.02, 25.02
3.92, 233.38, 1.508, 25.02, 25.02
3.94, 233.63, 1.508, 25.02, 25.02
3.95, 233.88, 1.508, 25.02, 25.02
3.97, 234.13, 1.508, 25.02, 25.02
3.98, 234.38, 1.508, 25.02, 25.02
4.00, 234.63, 1.508, 25.02, 25.02
4.02, 234.88, 1.508, 25.02, 25.02
4.03, 235.13, 1.508, 25.02, 25.02
4.05, 235.38, 1.508, 25.02, 25.02
4.06, 235.63, 1.508, 25.02, 25.02
4.08, 235.88, 1.508, 25.02, 25.02
4.09, 236.13, 1.508, 25.02, 25.02
4.11, 236.38, 1.508, 25.02, 25.02
4.13, 236.63, 1.508, 25.02, 25.02
4.14, 236.88, 1.508, 25.02, 25.02
4.16, 237.13, 1.508, 25.02, 25.02
4.17, 237.38, 1.508, 25.02, 25.02
4.19, 237.63, 1.508, 25.02, 25.02
4.20, 237.88, 1.508, 25.02, 25.02
4.22, 238.13, 1.508, 25.02, 25.02
4.24, 238.38, 1.508, 25.02, 25.02
4.25, 238.63, 1.508, 25.02, 25.02
4.27, 238.88, 1.508, 25.02, 25.02
4.28, 239.12, 1.508, 25.02, 25.02
4.30, 239.37, 1.508, 25.02, 25.02
4.31, 239.62, 1.508, 25.02, 25.02
4.33, 239.87, 1.508, 25.02, 25.02
4.34, 240.12, 1.508, 25.02, 25.02
4.36, 240.37, 1.508, 25.02, 25.02
4.38, 240.62, 1.508, 25.02, 25.02
4.39, 240.87, 1.508, 25.02, 25.02
4.41, 241.12, 1.508, 25.02, 25.02
4.42, 241.37, 1.508, 25.02, 25.02
4.44, 241.62, 1.508, 25.02, 25.02
4.45, 241.87, 1.508, 25.02, 25.02
4.47, 242.12, 1.508, 25.02, 25.02
4.49, 242.37, 1.508, 25.02, 25.02
4.50, 242.62, 1.508, 25.02, 25.02
4.52, 242.87, 1.508, 25.02, 25.02
4.53, 243.12, 1.508, 25.02, 25.02
4.55, 243.37, 1.508, 25.02, 25.02
4.56, 243.62, 1.508, 25.02, 25.02
4.58, 243.87, 1.508, 25.02, 25.02
4.59, 244.12, 1.508, 25.02, 25.02
4.61, 244.37, 1.508, 25.02, 25.02
4.63, 244.62, 1.508, 25.02, 25.02
4.64, 244.87, 1.508, 25.02, 25.02
4.66, 245.12, 1.508, 25.02, 25.02
4.67, 245.37, 1.508, 25.02, 25.02
4.69, 245.62, 1.508, 25.02, 25.02
4.70, 245.87, 1.508, 25.02, 25.02
4.72, 246.12, 1.508, 25.02, 25.02
4.74, 246.37, 1.508, 25.02, 25.02
4.75, 246.62, 1.508, 25.02, 25.02
4.77, 246.87, 1.508, 25.02, 25.02
4.78, 247.12, 1.508, 25.02, 25.02
4.80, 247.37, 1.508, 25.02, 25.02
4.81, 247.62, 1.508, 25.02, 25.02
4.83, 247.87, 1.508, 25.02, 25.02
4.85, 248.12, 1.508, 25.02, 25.02
4.86, 248.37, 1.508, 25.02, 25.02
4.88, 248.62, 1.508, 25.02, 25.02
4.89, 248.87, 1.508, 25.02, 25.02
4.91, 249.12, 1.508, 25.02, 25.02
4.92, 249.36, 1.508, 25.02, 25.02
4.94, 249.61, 1.508, 25.02, 25.02
4.95, 249.86, 1.508, 25.02, 25.02
4.97, 250.11, 1.508, 25.02, 25.02
4.99, 250.36, 1.508, 25.02, 25.02
5.00, 250.61, 1.508, 25.02, 25.02
5.02, 250.86, 1.508, 25.02, 25.02
5.03, 251.11, 1.508, 25.02, 25.02
5.05, 251.36, 1.508, 25.02, 25.02
5.06, 251.61, 1.508, 25.02, 25.02
5.08, 251.86, 1.508, 25.02, 25.02
5.10, 252.11, 1.508, 25.02, 25.02
